,album,album,album,album,album,album,album,album,album,album,album,album,album,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,set,set,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track
387,0,2008-11-26 02:00:54,2005-01-01 00:00:00,,3,116,"<p>Psychedelic free jazz easy listening abstract world traditions. Gentle 60's - 70's.<br /></p><p>SummerSet marks the debut LP of Gigante Sound, a new record label specializing in the dark creative corners of experimental sound. The record was produced by Jared Blüm aka Blanketship. <br /><br />SummerSet is a wild and unexpected ride. The music can only be described as structured experimental sampled sound collage, but abstract pop isn't too far off either. Touches of 70's psych rock, musique concrete, wild jazz drums, big ass brass, Indonesian rhythm sections, microtonal synthesis, acoustic folk guitars and easy listening make up only a few colors of SummerSet's palate of colors. <br /></p><p>You can't skip through this album to get the point. Dense textures and disturbing surprises await you around every other bar of music. Worth a deep listening! -CD Baby<br /></p>",1763,,[],Summer Set,0,Album,,,,,2,2008-11-26 01:58:29,11,86,,,,,Blanketship,,['blanketship'],,,training,large,256000,0,,2008-11-26 01:56:26,2005-01-01 00:00:00,326,2,Electronic,[15],[15],,1387,en,Attribution-Noncommercial-Share Alike 3.0 United States,294,,8,,[],I wish I wish
393,0,2008-11-26 02:01:25,2009-01-07 00:00:00,,0,119,"<p><span style=""font-family: verdana,arial,geneva,sans-serif;"">The debut (?) EP from  Philly's Boogie Witch, who seem to have some kind of connection to  Strapping Fieldhands. Here you get total bar band boogie choogle distorted  into oblivion so it sounds like Acid Mothers offshoot Mainliner. Immediate  ""what the hell do we need an overmodulated Canned Heat"" questions become  dispelled as you actually jump into the river and go with the flow of THE  RIFF. The hilarity of it all is punctuated by the arrival of the harmonica  player, which actually sounds like some kind of crazed electronics  blaring from a Masonna record or something; it eventually makes total  sense as does this whole EP. It rocks and bulldozes beyond belief, and  when song one is done, you get another almost like it. What more can a choogler  want? (by Brian Turner from </span>""<a href=""http://www.wfmu.org/Playlists/Bins/new.0308.html"" target=""_blank"">Recent Faves from the WFMU Record Library<br />August</a>"")</p>",942,,[],Boogie Witch,3,Live Performance,,,Tequila Sunrise,"<p>Boogie Witch featured members of the Strapping Fieldhands. Their lone recording is an obliterated live performance at Philadelphia's <a href=""http://blog.wfmu.org/freeform/2008/04/www.silkcitydiner.com/"">Silk City</a>, which has since been renovated. It was released as a self-titled CD-R by the <a href=""http://www.tequilasunriserecords.com/"">Tequila Sunrise</a> record label, also a well-curated record store. Can't find much info about Boogie Witch anywhere, but apparently Tequila Sunrise still has a few of these cdr's in stock. (-via Jason Sigal at <a href=""http://blog.wfmu.org/freeform/2008/04/philadelphia-me.html"" target=""_blank""><em>WFMU's Beware of the Blog!</em></a>)</p>",0,2008-11-26 01:59:06,0,89,39.952335,"Philadelphia, PA",-75.163789,,Boogie Witch,The Strapping Fieldhands,['boogie witch'],http://deletedesign.com/_wsn/page5.html,,training,large,256000,0,,2008-11-26 01:56:49,2002-06-27 00:00:00,810,0,Rock,[12],[12],"<p>The unedited recording of Boogie Witch live at Silk City Lounge June 27, 2002.</p>",866,en,Attribution-NonCommercial-ShareAlike 3.0 International,424,,0,,[],"Untitled Boogie (edit), Transfiguration Boogie, Boogie Hole"
394,0,2008-11-26 02:01:25,2009-01-07 00:00:00,,0,119,"<p><span style=""font-family: verdana,arial,geneva,sans-serif;"">The debut (?) EP from  Philly's Boogie Witch, who seem to have some kind of connection to  Strapping Fieldhands. Here you get total bar band boogie choogle distorted  into oblivion so it sounds like Acid Mothers offshoot Mainliner. Immediate  ""what the hell do we need an overmodulated Canned Heat"" questions become  dispelled as you actually jump into the river and go with the flow of THE  RIFF. The hilarity of it all is punctuated by the arrival of the harmonica  player, which actually sounds like some kind of crazed electronics  blaring from a Masonna record or something; it eventually makes total  sense as does this whole EP. It rocks and bulldozes beyond belief, and  when song one is done, you get another almost like it. What more can a choogler  want? (by Brian Turner from </span>""<a href=""http://www.wfmu.org/Playlists/Bins/new.0308.html"" target=""_blank"">Recent Faves from the WFMU Record Library<br />August</a>"")</p>",942,,[],Boogie Witch,3,Live Performance,,,Tequila Sunrise,"<p>Boogie Witch featured members of the Strapping Fieldhands. Their lone recording is an obliterated live performance at Philadelphia's <a href=""http://blog.wfmu.org/freeform/2008/04/www.silkcitydiner.com/"">Silk City</a>, which has since been renovated. It was released as a self-titled CD-R by the <a href=""http://www.tequilasunriserecords.com/"">Tequila Sunrise</a> record label, also a well-curated record store. Can't find much info about Boogie Witch anywhere, but apparently Tequila Sunrise still has a few of these cdr's in stock. (-via Jason Sigal at <a href=""http://blog.wfmu.org/freeform/2008/04/philadelphia-me.html"" target=""_blank""><em>WFMU's Beware of the Blog!</em></a>)</p>",0,2008-11-26 01:59:06,0,89,39.952335,"Philadelphia, PA",-75.163789,,Boogie Witch,The Strapping Fieldhands,['boogie witch'],http://deletedesign.com/_wsn/page5.html,,training,large,256000,0,,2008-11-26 01:56:56,2002-06-27 00:00:00,243,0,Rock,[12],[12],"<p>Recorded live at Silk City Lounge June 27, 2002.</p>",689,en,Attribution-NonCommercial-ShareAlike 3.0 International,280,,3,,[],Boogie Hole
395,0,2008-11-26 02:01:25,2009-01-07 00:00:00,,0,119,"<p><span style=""font-family: verdana,arial,geneva,sans-serif;"">The debut (?) EP from  Philly's Boogie Witch, who seem to have some kind of connection to  Strapping Fieldhands. Here you get total bar band boogie choogle distorted  into oblivion so it sounds like Acid Mothers offshoot Mainliner. Immediate  ""what the hell do we need an overmodulated Canned Heat"" questions become  dispelled as you actually jump into the river and go with the flow of THE  RIFF. The hilarity of it all is punctuated by the arrival of the harmonica  player, which actually sounds like some kind of crazed electronics  blaring from a Masonna record or something; it eventually makes total  sense as does this whole EP. It rocks and bulldozes beyond belief, and  when song one is done, you get another almost like it. What more can a choogler  want? (by Brian Turner from </span>""<a href=""http://www.wfmu.org/Playlists/Bins/new.0308.html"" target=""_blank"">Recent Faves from the WFMU Record Library<br />August</a>"")</p>",942,,[],Boogie Witch,3,Live Performance,,,Tequila Sunrise,"<p>Boogie Witch featured members of the Strapping Fieldhands. Their lone recording is an obliterated live performance at Philadelphia's <a href=""http://blog.wfmu.org/freeform/2008/04/www.silkcitydiner.com/"">Silk City</a>, which has since been renovated. It was released as a self-titled CD-R by the <a href=""http://www.tequilasunriserecords.com/"">Tequila Sunrise</a> record label, also a well-curated record store. Can't find much info about Boogie Witch anywhere, but apparently Tequila Sunrise still has a few of these cdr's in stock. (-via Jason Sigal at <a href=""http://blog.wfmu.org/freeform/2008/04/philadelphia-me.html"" target=""_blank""><em>WFMU's Beware of the Blog!</em></a>)</p>",0,2008-11-26 01:59:06,0,89,39.952335,"Philadelphia, PA",-75.163789,,Boogie Witch,The Strapping Fieldhands,['boogie witch'],http://deletedesign.com/_wsn/page5.html,,training,large,256000,0,,2008-11-26 01:56:59,2002-06-27 00:00:00,380,0,Rock,[12],[12],"<p>Recorded live at Silk City Lounge June 27, 2002.</p>",619,en,Attribution-NonCommercial-ShareAlike 3.0 International,244,,2,,[],Transfiguration Boogie
396,0,2009-01-07 11:04:01,2007-01-01 00:00:00,,1,1697,"<p>A 2CD collection of the unedited live performance of Borful Tang on KDVS (Davis, CA) on August 30, 2006. For an uninterrupted hour and a half, Borful Tang reworks and extends a whole cadre of new material as well as a few tunes from his earlier releases. As stated in the title, this is only the first volume of several to come, chronicling the live radio performances of Mr. Borful Tang.</p>",1931,,[],On the Back of a Dying Beast: Volume 1,7,Live Performance,,,Snurp,"<p><em>The Story of Borful Tang</em> is a long and strange one. It defies belief but I present it to you as truth in this condensed form. He is a being from another time and another place; a place not of this Earth but another world.In that world, Borful Tang was one of the legendary hill herders and a musician of great renown. Hill herding was a mysterious profession, the art known only to a few, passed down from master to apprentice. He shepherded the hills from one region to another across the vast plains of the world, communicating and moving them through sound.In his rambling home atop one of the larger hills, he crafted instruments that produced huge complex swathes of sound. Some of them resembled the giant horns used by the Tibetans in our world, while others were large, intricate wooden contraptions capable of playing repeated, interweaving patterns. Borful would send forth mighty volleys of drones and cascading notes, and the hills would lift slowly up with a great cracking of stone and earth. As a hill shuffled onward, another would come in and settle on the abandoned ground. In this slow, stately manner he roamed the plains with his flock.More socially minded than the traditional hill herder,  Borful would often look in on the towns and cities that existed on the edges of the great plains and listen to their different musics. As he absorbed the sounds from these disparate cultures, he became intrigued with the idea of performance and composition. He combined these new ideas and melodies with elements of his hill sound, creating a uniquely powerful music. He began performing this music and so his legend grew.However, there was great turmoil coming to the world. At the height of his fame, a group of lords in league with dark forces of great mystical power, splintered off from the democratic governing body and took control of that world in a violent coup. They opened a portal between their world and ours here on Earth. Undetected by the governing bodies of our planet, they used the Slave Birds to capture humans and bring them back through the portal to work in their immense ore mines. They grew rich and powerful, ruling their world with a ruthless single-minded quest for power.The lords knew the legend of the hill herders and that of Borful Tang. They wanted control of the ancient hills for themselves but Borful alone, resisted. With some renegade human slaves, he took the hills into battle against the lords, but their power was too great. He was forced to retreat, only to be caught by the Slave Birds and brought through the portal to Earth.Borful Tang remains here in exile, his life as a hill herder snatched away. He finds solace in his music. He cannot craft the instruments he once played with the available materials on our world. but he has learned how to utilize the technology of our time to at least continue his musical path.There is far more to this tale than can be explained in this brief text. As he reveals his story to me, so I shall share it with you. Thank you for listening.Dominic CrampSNURPJuly, 2005</p>",0,2008-11-26 01:59:22,8,90,37.7749295,"San Francisco, CA",-122.4194155,Dominic Cramp,Borful Tang,"Qulfus, Carla Bozulich's Evangelista",['borful tang'],http://www.gigantesound.com/artist_borful.html,,training,large,256000,0,,2008-11-26 01:57:06,2006-08-30 00:00:00,1137,1,Electronic,[15],[15],,808,en,Attribution-NonCommercial-ShareAlike 3.0 International,188,,1,,[],Juggernaut Soliloquy
397,0,2009-01-07 11:04:01,2007-01-01 00:00:00,,1,1697,"<p>A 2CD collection of the unedited live performance of Borful Tang on KDVS (Davis, CA) on August 30, 2006. For an uninterrupted hour and a half, Borful Tang reworks and extends a whole cadre of new material as well as a few tunes from his earlier releases. As stated in the title, this is only the first volume of several to come, chronicling the live radio performances of Mr. Borful Tang.</p>",1931,,[],On the Back of a Dying Beast: Volume 1,7,Live Performance,,,Snurp,"<p><em>The Story of Borful Tang</em> is a long and strange one. It defies belief but I present it to you as truth in this condensed form. He is a being from another time and another place; a place not of this Earth but another world.In that world, Borful Tang was one of the legendary hill herders and a musician of great renown. Hill herding was a mysterious profession, the art known only to a few, passed down from master to apprentice. He shepherded the hills from one region to another across the vast plains of the world, communicating and moving them through sound.In his rambling home atop one of the larger hills, he crafted instruments that produced huge complex swathes of sound. Some of them resembled the giant horns used by the Tibetans in our world, while others were large, intricate wooden contraptions capable of playing repeated, interweaving patterns. Borful would send forth mighty volleys of drones and cascading notes, and the hills would lift slowly up with a great cracking of stone and earth. As a hill shuffled onward, another would come in and settle on the abandoned ground. In this slow, stately manner he roamed the plains with his flock.More socially minded than the traditional hill herder,  Borful would often look in on the towns and cities that existed on the edges of the great plains and listen to their different musics. As he absorbed the sounds from these disparate cultures, he became intrigued with the idea of performance and composition. He combined these new ideas and melodies with elements of his hill sound, creating a uniquely powerful music. He began performing this music and so his legend grew.However, there was great turmoil coming to the world. At the height of his fame, a group of lords in league with dark forces of great mystical power, splintered off from the democratic governing body and took control of that world in a violent coup. They opened a portal between their world and ours here on Earth. Undetected by the governing bodies of our planet, they used the Slave Birds to capture humans and bring them back through the portal to work in their immense ore mines. They grew rich and powerful, ruling their world with a ruthless single-minded quest for power.The lords knew the legend of the hill herders and that of Borful Tang. They wanted control of the ancient hills for themselves but Borful alone, resisted. With some renegade human slaves, he took the hills into battle against the lords, but their power was too great. He was forced to retreat, only to be caught by the Slave Birds and brought through the portal to Earth.Borful Tang remains here in exile, his life as a hill herder snatched away. He finds solace in his music. He cannot craft the instruments he once played with the available materials on our world. but he has learned how to utilize the technology of our time to at least continue his musical path.There is far more to this tale than can be explained in this brief text. As he reveals his story to me, so I shall share it with you. Thank you for listening.Dominic CrampSNURPJuly, 2005</p>",0,2008-11-26 01:59:22,8,90,37.7749295,"San Francisco, CA",-122.4194155,Dominic Cramp,Borful Tang,"Qulfus, Carla Bozulich's Evangelista",['borful tang'],http://www.gigantesound.com/artist_borful.html,,training,medium,256000,0,Borful Tang,2008-11-26 01:57:15,2006-08-30 00:00:00,240,1,Electronic,[15],[15],,3102,en,Attribution-NonCommercial-ShareAlike 3.0 International,427,,4,,[],The Tides Of Land
398,0,2008-11-26 02:01:54,2005-07-05 00:00:00,,0,122,"<p>Back on the Tang gang with Dominic Cramp and his supersonic blender-in-a-briefcase. Scoring a big yes from Cramped-up samples of No Means No (#1) and the outstanding international collections of the Secret Museum of Mankind which gets dropped into a hyperkinetic drumroll on #4 (the bagpipes<br /> are nearly torn to bits, but survive). There&rsquo;s organ bombast on &ldquo;Majestic Shuffle&rdquo; strafed by unidentified flying synths. And if you missed meeting John and Mary on the &ldquo;Destroyer&rdquo; CD version Dominic tricked us with earlier, they are back and as confused as ever here. Indeed they are hungering for<br /> more in &ldquo;The Restaurant&rdquo;, which cuts me up and my lil pumpkin head. Accidental digital hardcore whipped up on #2, but by the end of all the denaturing of sound, the robots, samples, pedals, effects exist solely to take a walk in the snow with the birds. (Probably robot birds, built out of scrap from Chinese prison toy factories&hellip;). Plunderphrenetic.</p>
<p>Reviewed by Thurston Hunge at <a href=""http://spidey.kfjc.org/?p=774"" target=""_blank"">KFJC</a></p>",6068,,[],Root,9,Album,,,Snurp,"<p><em>The Story of Borful Tang</em> is a long and strange one. It defies belief but I present it to you as truth in this condensed form. He is a being from another time and another place; a place not of this Earth but another world.In that world, Borful Tang was one of the legendary hill herders and a musician of great renown. Hill herding was a mysterious profession, the art known only to a few, passed down from master to apprentice. He shepherded the hills from one region to another across the vast plains of the world, communicating and moving them through sound.In his rambling home atop one of the larger hills, he crafted instruments that produced huge complex swathes of sound. Some of them resembled the giant horns used by the Tibetans in our world, while others were large, intricate wooden contraptions capable of playing repeated, interweaving patterns. Borful would send forth mighty volleys of drones and cascading notes, and the hills would lift slowly up with a great cracking of stone and earth. As a hill shuffled onward, another would come in and settle on the abandoned ground. In this slow, stately manner he roamed the plains with his flock.More socially minded than the traditional hill herder,  Borful would often look in on the towns and cities that existed on the edges of the great plains and listen to their different musics. As he absorbed the sounds from these disparate cultures, he became intrigued with the idea of performance and composition. He combined these new ideas and melodies with elements of his hill sound, creating a uniquely powerful music. He began performing this music and so his legend grew.However, there was great turmoil coming to the world. At the height of his fame, a group of lords in league with dark forces of great mystical power, splintered off from the democratic governing body and took control of that world in a violent coup. They opened a portal between their world and ours here on Earth. Undetected by the governing bodies of our planet, they used the Slave Birds to capture humans and bring them back through the portal to work in their immense ore mines. They grew rich and powerful, ruling their world with a ruthless single-minded quest for power.The lords knew the legend of the hill herders and that of Borful Tang. They wanted control of the ancient hills for themselves but Borful alone, resisted. With some renegade human slaves, he took the hills into battle against the lords, but their power was too great. He was forced to retreat, only to be caught by the Slave Birds and brought through the portal to Earth.Borful Tang remains here in exile, his life as a hill herder snatched away. He finds solace in his music. He cannot craft the instruments he once played with the available materials on our world. but he has learned how to utilize the technology of our time to at least continue his musical path.There is far more to this tale than can be explained in this brief text. As he reveals his story to me, so I shall share it with you. Thank you for listening.Dominic CrampSNURPJuly, 2005</p>",0,2008-11-26 01:59:22,8,90,37.7749295,"San Francisco, CA",-122.4194155,Dominic Cramp,Borful Tang,"Qulfus, Carla Bozulich's Evangelista",['borful tang'],http://www.gigantesound.com/artist_borful.html,,training,medium,256000,0,,2008-11-26 01:57:19,2005-07-05 00:00:00,344,2,Electronic,[15],[15],,1957,en,Attribution-NonCommercial-ShareAlike 3.0 International,587,,1,,[],Borful Tang Loves Nomeansno
399,0,2008-11-26 02:01:54,2005-07-05 00:00:00,,0,122,"<p>Back on the Tang gang with Dominic Cramp and his supersonic blender-in-a-briefcase. Scoring a big yes from Cramped-up samples of No Means No (#1) and the outstanding international collections of the Secret Museum of Mankind which gets dropped into a hyperkinetic drumroll on #4 (the bagpipes<br /> are nearly torn to bits, but survive). There&rsquo;s organ bombast on &ldquo;Majestic Shuffle&rdquo; strafed by unidentified flying synths. And if you missed meeting John and Mary on the &ldquo;Destroyer&rdquo; CD version Dominic tricked us with earlier, they are back and as confused as ever here. Indeed they are hungering for<br /> more in &ldquo;The Restaurant&rdquo;, which cuts me up and my lil pumpkin head. Accidental digital hardcore whipped up on #2, but by the end of all the denaturing of sound, the robots, samples, pedals, effects exist solely to take a walk in the snow with the birds. (Probably robot birds, built out of scrap from Chinese prison toy factories&hellip;). Plunderphrenetic.</p>
<p>Reviewed by Thurston Hunge at <a href=""http://spidey.kfjc.org/?p=774"" target=""_blank"">KFJC</a></p>",6068,,[],Root,9,Album,,,Snurp,"<p><em>The Story of Borful Tang</em> is a long and strange one. It defies belief but I present it to you as truth in this condensed form. He is a being from another time and another place; a place not of this Earth but another world.In that world, Borful Tang was one of the legendary hill herders and a musician of great renown. Hill herding was a mysterious profession, the art known only to a few, passed down from master to apprentice. He shepherded the hills from one region to another across the vast plains of the world, communicating and moving them through sound.In his rambling home atop one of the larger hills, he crafted instruments that produced huge complex swathes of sound. Some of them resembled the giant horns used by the Tibetans in our world, while others were large, intricate wooden contraptions capable of playing repeated, interweaving patterns. Borful would send forth mighty volleys of drones and cascading notes, and the hills would lift slowly up with a great cracking of stone and earth. As a hill shuffled onward, another would come in and settle on the abandoned ground. In this slow, stately manner he roamed the plains with his flock.More socially minded than the traditional hill herder,  Borful would often look in on the towns and cities that existed on the edges of the great plains and listen to their different musics. As he absorbed the sounds from these disparate cultures, he became intrigued with the idea of performance and composition. He combined these new ideas and melodies with elements of his hill sound, creating a uniquely powerful music. He began performing this music and so his legend grew.However, there was great turmoil coming to the world. At the height of his fame, a group of lords in league with dark forces of great mystical power, splintered off from the democratic governing body and took control of that world in a violent coup. They opened a portal between their world and ours here on Earth. Undetected by the governing bodies of our planet, they used the Slave Birds to capture humans and bring them back through the portal to work in their immense ore mines. They grew rich and powerful, ruling their world with a ruthless single-minded quest for power.The lords knew the legend of the hill herders and that of Borful Tang. They wanted control of the ancient hills for themselves but Borful alone, resisted. With some renegade human slaves, he took the hills into battle against the lords, but their power was too great. He was forced to retreat, only to be caught by the Slave Birds and brought through the portal to Earth.Borful Tang remains here in exile, his life as a hill herder snatched away. He finds solace in his music. He cannot craft the instruments he once played with the available materials on our world. but he has learned how to utilize the technology of our time to at least continue his musical path.There is far more to this tale than can be explained in this brief text. As he reveals his story to me, so I shall share it with you. Thank you for listening.Dominic CrampSNURPJuly, 2005</p>",0,2008-11-26 01:59:22,8,90,37.7749295,"San Francisco, CA",-122.4194155,Dominic Cramp,Borful Tang,"Qulfus, Carla Bozulich's Evangelista",['borful tang'],http://www.gigantesound.com/artist_borful.html,,training,medium,256000,0,,2008-11-26 01:57:22,2005-07-05 00:00:00,388,2,Electronic,[15],[15],,1876,en,Attribution-NonCommercial-ShareAlike 3.0 International,520,,2,,[],ELI
400,0,2009-01-07 11:04:01,2007-01-01 00:00:00,,1,1697,"<p>A 2CD collection of the unedited live performance of Borful Tang on KDVS (Davis, CA) on August 30, 2006. For an uninterrupted hour and a half, Borful Tang reworks and extends a whole cadre of new material as well as a few tunes from his earlier releases. As stated in the title, this is only the first volume of several to come, chronicling the live radio performances of Mr. Borful Tang.</p>",1931,,[],On the Back of a Dying Beast: Volume 1,7,Live Performance,,,Snurp,"<p><em>The Story of Borful Tang</em> is a long and strange one. It defies belief but I present it to you as truth in this condensed form. He is a being from another time and another place; a place not of this Earth but another world.In that world, Borful Tang was one of the legendary hill herders and a musician of great renown. Hill herding was a mysterious profession, the art known only to a few, passed down from master to apprentice. He shepherded the hills from one region to another across the vast plains of the world, communicating and moving them through sound.In his rambling home atop one of the larger hills, he crafted instruments that produced huge complex swathes of sound. Some of them resembled the giant horns used by the Tibetans in our world, while others were large, intricate wooden contraptions capable of playing repeated, interweaving patterns. Borful would send forth mighty volleys of drones and cascading notes, and the hills would lift slowly up with a great cracking of stone and earth. As a hill shuffled onward, another would come in and settle on the abandoned ground. In this slow, stately manner he roamed the plains with his flock.More socially minded than the traditional hill herder,  Borful would often look in on the towns and cities that existed on the edges of the great plains and listen to their different musics. As he absorbed the sounds from these disparate cultures, he became intrigued with the idea of performance and composition. He combined these new ideas and melodies with elements of his hill sound, creating a uniquely powerful music. He began performing this music and so his legend grew.However, there was great turmoil coming to the world. At the height of his fame, a group of lords in league with dark forces of great mystical power, splintered off from the democratic governing body and took control of that world in a violent coup. They opened a portal between their world and ours here on Earth. Undetected by the governing bodies of our planet, they used the Slave Birds to capture humans and bring them back through the portal to work in their immense ore mines. They grew rich and powerful, ruling their world with a ruthless single-minded quest for power.The lords knew the legend of the hill herders and that of Borful Tang. They wanted control of the ancient hills for themselves but Borful alone, resisted. With some renegade human slaves, he took the hills into battle against the lords, but their power was too great. He was forced to retreat, only to be caught by the Slave Birds and brought through the portal to Earth.Borful Tang remains here in exile, his life as a hill herder snatched away. He finds solace in his music. He cannot craft the instruments he once played with the available materials on our world. but he has learned how to utilize the technology of our time to at least continue his musical path.There is far more to this tale than can be explained in this brief text. As he reveals his story to me, so I shall share it with you. Thank you for listening.Dominic CrampSNURPJuly, 2005</p>",0,2008-11-26 01:59:22,8,90,37.7749295,"San Francisco, CA",-122.4194155,Dominic Cramp,Borful Tang,"Qulfus, Carla Bozulich's Evangelista",['borful tang'],http://www.gigantesound.com/artist_borful.html,,training,medium,256000,0,Borful Tang,2008-11-26 01:57:28,2006-08-30 00:00:00,395,1,Electronic,[15],[15],,2864,en,Attribution-NonCommercial-ShareAlike 3.0 International,587,,5,,[],Electronic Interlude VI
401,0,2009-01-07 11:04:01,2007-01-01 00:00:00,,1,1697,"<p>A 2CD collection of the unedited live performance of Borful Tang on KDVS (Davis, CA) on August 30, 2006. For an uninterrupted hour and a half, Borful Tang reworks and extends a whole cadre of new material as well as a few tunes from his earlier releases. As stated in the title, this is only the first volume of several to come, chronicling the live radio performances of Mr. Borful Tang.</p>",1931,,[],On the Back of a Dying Beast: Volume 1,7,Live Performance,,,Snurp,"<p><em>The Story of Borful Tang</em> is a long and strange one. It defies belief but I present it to you as truth in this condensed form. He is a being from another time and another place; a place not of this Earth but another world.In that world, Borful Tang was one of the legendary hill herders and a musician of great renown. Hill herding was a mysterious profession, the art known only to a few, passed down from master to apprentice. He shepherded the hills from one region to another across the vast plains of the world, communicating and moving them through sound.In his rambling home atop one of the larger hills, he crafted instruments that produced huge complex swathes of sound. Some of them resembled the giant horns used by the Tibetans in our world, while others were large, intricate wooden contraptions capable of playing repeated, interweaving patterns. Borful would send forth mighty volleys of drones and cascading notes, and the hills would lift slowly up with a great cracking of stone and earth. As a hill shuffled onward, another would come in and settle on the abandoned ground. In this slow, stately manner he roamed the plains with his flock.More socially minded than the traditional hill herder,  Borful would often look in on the towns and cities that existed on the edges of the great plains and listen to their different musics. As he absorbed the sounds from these disparate cultures, he became intrigued with the idea of performance and composition. He combined these new ideas and melodies with elements of his hill sound, creating a uniquely powerful music. He began performing this music and so his legend grew.However, there was great turmoil coming to the world. At the height of his fame, a group of lords in league with dark forces of great mystical power, splintered off from the democratic governing body and took control of that world in a violent coup. They opened a portal between their world and ours here on Earth. Undetected by the governing bodies of our planet, they used the Slave Birds to capture humans and bring them back through the portal to work in their immense ore mines. They grew rich and powerful, ruling their world with a ruthless single-minded quest for power.The lords knew the legend of the hill herders and that of Borful Tang. They wanted control of the ancient hills for themselves but Borful alone, resisted. With some renegade human slaves, he took the hills into battle against the lords, but their power was too great. He was forced to retreat, only to be caught by the Slave Birds and brought through the portal to Earth.Borful Tang remains here in exile, his life as a hill herder snatched away. He finds solace in his music. He cannot craft the instruments he once played with the available materials on our world. but he has learned how to utilize the technology of our time to at least continue his musical path.There is far more to this tale than can be explained in this brief text. As he reveals his story to me, so I shall share it with you. Thank you for listening.Dominic CrampSNURPJuly, 2005</p>",0,2008-11-26 01:59:22,8,90,37.7749295,"San Francisco, CA",-122.4194155,Dominic Cramp,Borful Tang,"Qulfus, Carla Bozulich's Evangelista",['borful tang'],http://www.gigantesound.com/artist_borful.html,,training,large,256000,0,,2008-11-26 01:57:34,2006-08-30 00:00:00,1076,1,Electronic,[15],[15],,2163,en,Attribution-NonCommercial-ShareAlike 3.0 International,157,,2,,[],Modesto
402,0,2009-01-07 11:04:01,2007-01-01 00:00:00,,1,1697,"<p>A 2CD collection of the unedited live performance of Borful Tang on KDVS (Davis, CA) on August 30, 2006. For an uninterrupted hour and a half, Borful Tang reworks and extends a whole cadre of new material as well as a few tunes from his earlier releases. As stated in the title, this is only the first volume of several to come, chronicling the live radio performances of Mr. Borful Tang.</p>",1931,,[],On the Back of a Dying Beast: Volume 1,7,Live Performance,,,Snurp,"<p><em>The Story of Borful Tang</em> is a long and strange one. It defies belief but I present it to you as truth in this condensed form. He is a being from another time and another place; a place not of this Earth but another world.In that world, Borful Tang was one of the legendary hill herders and a musician of great renown. Hill herding was a mysterious profession, the art known only to a few, passed down from master to apprentice. He shepherded the hills from one region to another across the vast plains of the world, communicating and moving them through sound.In his rambling home atop one of the larger hills, he crafted instruments that produced huge complex swathes of sound. Some of them resembled the giant horns used by the Tibetans in our world, while others were large, intricate wooden contraptions capable of playing repeated, interweaving patterns. Borful would send forth mighty volleys of drones and cascading notes, and the hills would lift slowly up with a great cracking of stone and earth. As a hill shuffled onward, another would come in and settle on the abandoned ground. In this slow, stately manner he roamed the plains with his flock.More socially minded than the traditional hill herder,  Borful would often look in on the towns and cities that existed on the edges of the great plains and listen to their different musics. As he absorbed the sounds from these disparate cultures, he became intrigued with the idea of performance and composition. He combined these new ideas and melodies with elements of his hill sound, creating a uniquely powerful music. He began performing this music and so his legend grew.However, there was great turmoil coming to the world. At the height of his fame, a group of lords in league with dark forces of great mystical power, splintered off from the democratic governing body and took control of that world in a violent coup. They opened a portal between their world and ours here on Earth. Undetected by the governing bodies of our planet, they used the Slave Birds to capture humans and bring them back through the portal to work in their immense ore mines. They grew rich and powerful, ruling their world with a ruthless single-minded quest for power.The lords knew the legend of the hill herders and that of Borful Tang. They wanted control of the ancient hills for themselves but Borful alone, resisted. With some renegade human slaves, he took the hills into battle against the lords, but their power was too great. He was forced to retreat, only to be caught by the Slave Birds and brought through the portal to Earth.Borful Tang remains here in exile, his life as a hill herder snatched away. He finds solace in his music. He cannot craft the instruments he once played with the available materials on our world. but he has learned how to utilize the technology of our time to at least continue his musical path.There is far more to this tale than can be explained in this brief text. As he reveals his story to me, so I shall share it with you. Thank you for listening.Dominic CrampSNURPJuly, 2005</p>",0,2008-11-26 01:59:22,8,90,37.7749295,"San Francisco, CA",-122.4194155,Dominic Cramp,Borful Tang,"Qulfus, Carla Bozulich's Evangelista",['borful tang'],http://www.gigantesound.com/artist_borful.html,,training,large,256000,0,Borful Tang,2008-11-26 01:57:43,2006-08-30 00:00:00,541,1,Electronic,[15],[15],,1508,en,Attribution-NonCommercial-ShareAlike 3.0 International,55,,6,,[],Oh Kap Soon
